start_time - end_time	tier_name	text
5.62970521542 - 5.72947845805	participant SET sp MHM OK GREAT SO THANK YOU FOR COMING BACK IN TODAY sp UM AND AS THE CONSENT FORM INDICATED YOU'RE FREE TO PAUSE sp THE sp STUDY OR LEAVE AT ANY TIME SO JUST LET ME KNOW sp ALRIGHT SO THIS IS THE SECOND AND LAST SESSION MHM AND IT SHOULD ALSO TAKE ABOUT SIXTY TO NINETY MINUTES AT THE LONGEST sp ALRIGHT sp OK sp AND THERE ARE TWO TASKS WE'LL BE DOING TODAY SO FIRST I'M GOING TO SHOW YOU A SERIES OF IMAGES AND I'M GOING TO ASK YOU A FEW QUESTIONS ABOUT EACH IMAGE sp OK sp SO SOME OF THE QUESTIONS MIGHT BE EASY OR DIFFICULT SOME OF THE QUESTIONS MIGHT SEEM SILLY sp UM THERE'S NO RIGHT OR WRONG ANSWER sp SO JUST TRY YOUR BEST AGAIN TO GUESS sp AND IF YOU'RE ABSOLUTELY NOT SURE WHAT THE ANSWER IS JUST TELL ME THAT YOU WANT TO SKIP THE QUESTION AGAIN sp ALRIGHT sp OK sp UM AND SO WE'LL DO THAT AND THEN WE'LL TAKE JUST A FIVE TO TEN MINUTE BREAK sp UM AND THEN WE'LL TALK ABOUT SOME JUST BASIC MATH AND PROGRAMMING CONCEPTS sp OK sp OK sp GREAT sp SO sp WE HAVE TO START OFF JUST AGAIN BY CALIBRATING THE EYE TRACKING GLASSES MHM sp SO AGAIN IF YOU COULD JUST UM FOLLOW WITH YOUR EYES THE BLACK EXES AS THEY APPEAR MHM {SL} HOW LONG HAS THE UNEXPECTED VISITOR BEEN AWAY {SL} I'M KINDA THINKING sp YEARS {SL} OK HOW RICH IS sp THE FAMILY {SL} UH sp SORRY COULD YOU REPEAT THAT sp SURE HOW RICH IS sp THE FAMILY {SL} HM {SL} HM THEY DON'T REALLY sp LOOK RICH {SL} ALRIGHT WHAT SEASON IS IT {SL} HM {SL} UH THINK MAYBE WINTER {SL} ALRIGHT AND HOW DO THE CHILDREN FEEL ABOUT THE VISITOR {SL} HM {SL} THEY SEEM KIND OF sp LIKE SHOCKED MAYBE LIKE sp MAYBE NERVOUS {SL} OK GO TO THE NEXT IMAGE {SL} IS THE DOCTOR GIVING GOOD NEWS OR BAD NEWS {SL} HM THINK sp BAD NEWS {SL} OK HOW DO THE TWO PEOPLE ON THE RIGHT FEEL {SL} UH THEY SEEM LIKE {SL} LIKE THEY'RE sp CONCERNED sp MM BUT THEY sp CAN GET THROUGH IT {SL} OK WHAT IS THE PROFESSION OF THE MAN ON THE LEFT {SL} UM I MEAN {SL} I MEAN I'M SURE HE'S A sp DOCTOR I DON'T I DON'T KNOW WHAT KIND SPECIFICALLY {SL} BUT {SL} OK GREAT AND WHERE IS THIS CONVERSATION TAKING PLACE {SL} HM {SL} HM {SL} UH {SL} KIND OF LOOKS LIKE AN OFFICE {SL} OK GREAT WE'LL GO TO THE NEXT IMAGE {SL} WHAT MIGHT THIS PERSON BE TRYING TO DO {SL} HM {SL} HM I SEE A LOT OF LIKE sp PAPERS AND THINK sp MAYBE HE'S sp LIKE TRYING sp TO PRINT STUFF {SL} OK {SL} WHY IS sp THIS PERSON FRUSTRATED {SL} UM {SL} UM {SL} UH THE {SL} THE COMPUTER sp SOMETHING IS OBVIOUSLY sp NOT WORKING RIGHT {SL} OK WHAT EQUIPMENT IS HE USING {SL} HM {SL} HM {SL} BESIDES THE COMPUTER I sp I CAN'T REALLY TELL {SL} OK THAT'S ALRIGHT AND WHAT WILL HE DO NEXT {SL} HM {SL} UM {SL} HE LOOKS ABOUT READY TO BREAK SOMETHING {SL} OK GREAT WE'LL GO TO THE NEXT IMAGE {SL} WHY IS THIS PICTURE FUNNY {SL} UM {SL} sp LIKE LIKE THE sp TIC sp TAC sp TOE BOARD'S SUPPOSED TO BE LIKE sp UH sp CROP CIRCLES {SL} OK WHAT DOES THE CROP CIRCLE LOOK LIKE {SL} WELL {SL} I MEAN I KIND OF JUST ANSWERED THAT UH sp TIC TAC TOE sp YEAH {SL} GREAT UM WHERE ARE THE TWO GREEN MEN FROM {SL} I MEAN THEY'RE THEY'RE ALIENS {SL} SO sp {SL} YEAH	ALL
536.996158558 - 537.177938954	facilitator	OK
538.059637188 - 538.209297052	participant {SL} AND WHY IS THE MAN ON THE LEFT POINTING AND SMILING {SL} HM {SL} UM JUST sp I'M GUESSING HE'S sp HE'S sp THE ONE WHO sp GOT THE sp THREE IN A ROW {SL} OK THAT MAKES SENSE {SL} WHY IS sp THE WOMAN THE sp SECOND FROM THE RIGHT sp LOOKING AT THE MAN {SL} HM {SL} UH I'M NOT SURE {SL} YEAH I DON'T KNOW {SL} OK sp THAT'S OK sp WHAT ACTIONS ARE TAKING PLACE {SL} HM WELL IT sp LOOKS LIKE sp THE PERSON ON THE sp FAR LEFT IS UH {SL} UH LOOKS LIKE THEY'RE sp PICKPOCKETING THE MAN {SL} HM BUT {SL} UH I'M sp NOT REALLY SURE WHAT THE MAN ON sp THE ON THE FAR RIGHT ARE sp SUPPOSED TO BE DOING {SL} OK {SL} WHAT ARE THE WOMEN DOING {SL} HM {SL} sp YEAH I DON'T sp I DON'T KNOW {SL} OK sp GREAT AND WHAT TIME PERIOD IS THIS PICTURE DEPICTING {SL} HM {SL} I WANNA sp SAY LIKE {SL} LIKE sp RENAISSANCE ERA sp {SL} OK sp THAT MAKES SENSE {SL} SO WHERE IS THIS TAKING PLACE {SL} UM {SL} JUST LIKE AN sp OFFICE BUILDING LIKE sp WHERE THE MAN WORKS {SL} AND HOW DOES THIS PERSON FEEL {SL} UH VERY ANGRY {SL} OK AND WHAT HAS JUST HAPPENED {SL} UH THE COMPUTER'S sp LIKE HAVING SOME KIND OF LIKE {SL} SOME KIND OF ERROR {SL} UH I THINK {SL} PROBABLY LIKE sp LIKE AN sp LIKE sp AN ONGOING sp PROBLEM {SL} OK AND WHAT COLOR IS HIS TIE {SL} RED {SL} OK {SL} HOW DOES THE CAR FEEL {SL} HAPPY {SL} OK AND WHY MIGHT THE CAR FEEL THIS sp WAY {SL} WELL IT'S sp LICENSE PLATE SAYS sp WASH ME AND IT'S JUST sp BEEN WASHED {SL} OK AND WHAT TYPE OF CAR IS THIS {SL} UM {SL} I THINK {SL} THINK PROBABLY JUST LIKE sp {SL} LIKE A sp SEDAN OR SOMETHING {SL} DUNNO sp OK sp MAKES SENSE sp AND WHAT COLOR IS THIS sp CAR sp YELLOW OK GREAT {SL} WHERE ARE THEY {SL} UH AN ARCADE {SL} AND WHAT IS THEIR RELATIONSHIP {SL} MM {SL} LIKE {SL} BOYFRIEND GIRLFRIEND HUSBAND WIFE {SL} E- EITHER* OF* THOSE* sp	YEAH
897.223384053 - 897.375949742	facilitator	OK+
898.464009509 - 898.606836963	participant KIND* OF* GAME* ARE* THEY* PLAYING* {SL} UH sp A sp RACING GAME {SL} OK AND HOW OFTEN DO THEY PLAY VIDEO GAMES {SL} MM {SL} NOT NOT SUPER OFTEN {SL} LIKE {SL} I DON'T LIKE I DON'T sp I DON'T THINK {SL} THEY DON'T SEEM LIKE sp THEY'D BE {SL} WHAT sp PEOPLE CONSIDER sp GAMERS {SL} OK MAKES SENSE {SL} NEXT ONE {SL} WHY IS THE DOG LOOKING AT THE BOY {SL} HM {SL} MM I MEAN {SL} I MEAN I'M SURE sp THE DOG BELONGS TO THE BOY BUT I MEAN {SL} MM I'M NOT SURE IF THERE'S REALLY sp LIKE sp A SPECIFIC sp REASON {SL} WHY IT'S sp UH sp LOOKING AT HIM {SL} OK {SL} AND WHAT HAVE THE BOY AND DOG BEEN DOING BEFORE THIS MOMENT {SL} HA {SL} I DON'T KNOW {SL} THAT'S OK sp HOW MUCH DOES THE DOG WEIGH {SL} MM I'D sp SAY AROUND LIKE sp TWENTY POUNDS {SL} OK AND HOW OLD IS THE BOY {SL} MM {SL} I THINK {SL} I'M THINKING LIKE sp TWELVE OR THIRTEEN {SL} OK GREAT {SL} WHAT ARE THEY DROPPING OFF THE LEDGE {SL} I HAVE NO IDEA {SL}	WHAT*
1110.66488449 - 1110.90834037	facilitator	OK
1112.27460317 - 1112.46417234	participant DO THE PEOPLE FEEL {SL} sp MM {SL} MAYBE SURPRISED I MEAN {SL} KINDA HARD TO TELL THEY DON'T HAVE FACES {SL}	HOW
1134.42792076 - 1134.61294723	facilitator OK	YEAH
1136.89863946 - 1137.13809524	participant WOULD THE PEOPLE BE sp SURPRISED {SL} UM I MEAN THEY {SL} JUST {SL} NOT EXPECTING TO SEE sp THAT sp THING FALLING DOWN sp UH WHATEVER IT IS {SL} MAKES SENSE {SL} AND IS IT REALISTIC FOR AN EGG TO HATCH WHILE DROPPING {SL} MM {SL} I WOULDN'T THINK SO {SL} OK GREAT {SL} WHY IS THERE MONEY ON THE TABLE {SL} UH THEY'RE GAMBLING {SL} SO WHAT IS GOING ON IN THIS PICTURE {SL} MM {SL} UM {SL} THEY'RE {SL} PLAYING THEY'RE PLAYING CARDS MAYBE {SL} MAYBE LIKE sp POKER OR SOMETHING {SL} NOT SURE sp LIKE sp WHAT EXACTLY THEY'RE PLAYING {SL} OK {SL} WHO KNOWS THAT THE MAN HAS CARDS BEHIND HIS BACK {SL} MM COULD YOU sp REPEAT THE QUESTION sp SURE sp WHO KNOWS THAT THE MAN HAS CARDS BEHIND HIS BACK {SL} UM {SL} MM {SL} I DON'T KNOW IF ANY OF THE WOMEN KNOW BUT sp I MEAN IT LOOKS LIKE sp THE MAN IS sp LIKE sp LOOKING sp LIKE sp DIRECTLY AT sp THE VIEWER sp SO sp {SL} I MEAN I sp MEAN OBVIOUSLY I sp I CAN SEE THAT {SL} THE PICTURE THE MAN HAS sp CARDS BEHIND HIS BACK SO sp MHM {SL} GREAT AND HOW RICH IS EACH PERSON IN sp SORRY HOW RICH IS EACH PERSON IN THIS sp PICTURE {SL} UH {SL} UM {SL} I MEAN THE TWO WOMEN ON THE RIGHT ARE sp SEEM sp PRETTY RICH {SL} UH {SL} THE MAN DOESN'T {SL} MM THE MAN DOESN'T REALLY sp SEEM RICH TO ME UH NEITHER DOES LIKE UH sp THE THE WOMAN LIKE {SL} LIKE MORE ON THE LEFT {SL} OK {SL} MAKES SENSE {SL} WHAT'S GOING ON IN THIS PICTURE {SL} MM sp {SL} I DON'T KNOW {SL} NO IDEA sp OK {SL} WHAT'S THE PROFESSION OF THE MAN ON THE LEFT sp {SL} UH {SL} UH sp I GUESS LIKE A sp LIKE A MEDIC IN LIKE THE NAVY OR sp SOMETHING {SL} OK WHAT ARE THE RELATIONSHIPS sp OF THE PEOPLE IN THIS PICTURE {SL} MM {SL} sp MM {SL} UH THE WOMAN'S sp PROBABLY sp THE DAUGHTER OF sp UH sp THE OLD MAN sp UH THE OLD MAN sp I'M GUESSING IS A sp LIKE A VETERAN {SL}	WHY
1461.60855826 - 1461.79358474	facilitator	OK
1462.83786848 - 1462.95955039	participant SENSE sp AND APPROXIMATELY HOW OLD IS EACH PERSON {SL} MM {SL} I sp WANNA sp SAY LIKE {SL} I sp WANNA SAY THE YOUNGER sp MAN AND {SL} UH THE WOMAN ARE sp LIKE BOTH IN sp THEIR FORTIES AND {SL} THE OLDER MAN {SL} LIKE MAYBE sp SEVENTIES EIGHTIES sp	MAKES
1498.90436705 - 1499.11211608	facilitator	OK
